detector,batch_id,score,flagged,threshold,model,features,seed
psi,47,1.0992834530064284,False,1.5236816451484274,xgb,base_gfp,4
ks,47,0.6511627906976745,True,0.6434108527131783,xgb,base_gfp,4
conf,47,0.08518470917771259,False,0.18570183064151252,xgb,base_gfp,4
psi,48,1.6460483841916336,True,1.5236816451484274,xgb,base_gfp,4
ks,48,0.6046511627906976,False,0.6434108527131783,xgb,base_gfp,4
conf,48,0.13700899878188338,False,0.18570183064151252,xgb,base_gfp,4
psi,49,1.7411674900877954,True,1.5236816451484274,xgb,base_gfp,4
ks,49,0.6666666666666666,True,0.6434108527131783,xgb,base_gfp,4
conf,49,0.21457182270842562,True,0.18570183064151252,xgb,base_gfp,4
psi,38,0.25861448529111825,False,1.5236816451484274,sage,base_gfp,0
ks,38,0.5813953488372093,False,0.6434108527131783,sage,base_gfp,0
conf,38,0.07695652824694216,False,0.19118633297239035,sage,base_gfp,0
psi,39,2.467151526727238,True,1.5236816451484274,sage,base_gfp,0
ks,39,0.5581395348837209,False,0.6434108527131783,sage,base_gfp,0
conf,39,0.21468937700030688,True,0.19118633297239035,sage,base_gfp,0
psi,40,1.086082397008295,False,1.5236816451484274,sage,base_gfp,0
ks,40,0.7209302325581395,True,0.6434108527131783,sage,base_gfp,0
conf,40,0.14535745838237957,False,0.19118633297239035,sage,base_gfp,0
psi,41,2.4366026960212794,True,1.5236816451484274,sage,base_gfp,0
ks,41,0.4728682170542636,False,0.6434108527131783,sage,base_gfp,0
conf,41,0.10472757187169163,False,0.19118633297239035,sage,base_gfp,0
psi,42,1.2007690266960573,False,1.5236816451484274,sage,base_gfp,0
ks,42,0.6356589147286822,False,0.6434108527131783,sage,base_gfp,0
conf,42,0.09466878952028004,False,0.19118633297239035,sage,base_gfp,0
psi,43,0.9255674988757383,False,1.5236816451484274,sage,base_gfp,0
ks,43,0.7054263565891473,True,0.6434108527131783,sage,base_gfp,0
conf,43,0.06965417379840777,False,0.19118633297239035,sage,base_gfp,0
psi,44,1.0654070274779905,False,1.5236816451484274,sage,base_gfp,0
ks,44,0.5271317829457365,False,0.6434108527131783,sage,base_gfp,0
conf,44,0.1055168913091038,False,0.19118633297239035,sage,base_gfp,0
psi,45,1.1946084977499207,False,1.5236816451484274,sage,base_gfp,0
ks,45,0.6046511627906976,False,0.6434108527131783,sage,base_gfp,0
conf,45,0.173893087744787,False,0.19118633297239035,sage,base_gfp,0
psi,46,3.146406778299379,True,1.5236816451484274,sage,base_gfp,0
ks,46,0.4263565891472868,False,0.6434108527131783,sage,base_gfp,0
conf,46,0.11446030356169137,False,0.19118633297239035,sage,base_gfp,0
psi,47,1.0992834530064284,False,1.5236816451484274,sage,base_gfp,0
ks,47,0.6511627906976745,True,0.6434108527131783,sage,base_gfp,0
conf,47,0.036003257534879374,False,0.19118633297239035,sage,base_gfp,0
psi,48,1.6460483841916336,True,1.5236816451484274,sage,base_gfp,0
ks,48,0.6046511627906976,False,0.6434108527131783,sage,base_gfp,0
conf,48,0.07935038114787574,False,0.19118633297239035,sage,base_gfp,0
psi,49,1.7411674900877954,True,1.5236816451484274,sage,base_gfp,0
ks,49,0.6666666666666666,True,0.6434108527131783,sage,base_gfp,0
conf,49,0.1490767756604463,False,0.19118633297239035,sage,base_gfp,0
psi,38,0.25861448529111825,False,1.5236816451484274,sage,base_gfp,1
ks,38,0.5813953488372093,False,0.6434108527131783,sage,base_gfp,1
conf,38,0.05693598528098355,False,0.14030253117580965,sage,base_gfp,1
psi,39,2.467151526727238,True,1.5236816451484274,sage,base_gfp,1
ks,39,0.5581395348837209,False,0.6434108527131783,sage,base_gfp,1
conf,39,0.19512049019551778,True,0.14030253117580965,sage,base_gfp,1
psi,40,1.086082397008295,False,1.5236816451484274,sage,base_gfp,1
